epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.745,1.51869,2.99926,1.30485,0.00345,0.96774,0.60245,0.32782,1.32588,3.59333,1.17471,0.00042,0.00042,0.00042
2,312.795,1.50354,2.09016,1.20857,0.69149,0.28924,0.47908,0.23228,1.42163,3.52175,1.16886,0.000842972,0.000842972,0.000842972
3,460.279,1.45762,1.87328,1.23418,0.64436,0.44086,0.49786,0.24649,1.50615,3.09311,1.36261,0.00124852,0.00124852,0.00124852
